date,open,high,low,close,volume,return_1h,ma_24,volatility_24,label
2026-01-27 19:00:00,88285.05,88549.32,88049.89,88408.77,469.70931,0.0,88408.77,0.0,Vendre
2026-01-27 20:00:00,88408.78,89497.19,88373.49,89396.16,1024.56489,0.011168462133338108,88902.465,0.00789729530990855,Vendre
2026-01-27 21:00:00,89396.03,89523.16,89008.75,89081.46,689.88066,-0.0035202854350790957,88962.13,0.007669053191202066,Vendre
2026-01-27 22:00:00,89081.47,89421.91,89021.61,89243.63,281.54432,0.001820468591332114,89032.505,0.006272353384901074,Vendre
2026-01-27 23:00:00,89243.63,89515.78,89143.92,89250.0,421.36315,7.137764342401987e-05,89076.004,0.005528194757688846,Vendre
2026-01-28 00:00:00,89249.99,89468.01,89154.8,89467.72,258.84583,0.0024394397759104347,89141.29,0.0049493252452453675,Vendre
2026-01-28 01:00:00,89467.73,89497.96,89196.87,89404.57,267.52883,-0.0007058411681888366,89178.90142857144,0.0046321138365478,Vendre
2026-01-28 02:00:00,89404.57,89453.89,89100.01,89285.77,214.15071,-0.0013287911345024606,89192.26000000001,0.004412619309698783,Vendre
2026-01-28 03:00:00,89285.78,89311.87,88985.0,89126.67,353.861,-0.0017819188880826564,89184.97222222222,0.004249006870894803,Vendre
2026-01-28 04:00:00,89126.68,89160.0,88840.0,88975.04,312.10964,-0.001701286494828147,89163.979,0.0040900322132576515,Vendre
2026-01-28 05:00:00,88975.03,89105.56,88849.0,89084.1,326.80822,0.0012257370156845138,89156.71727272727,0.003884078284493711,Vendre
2026-01-28 06:00:00,89084.1,89400.0,89084.1,89317.47,340.81001,0.0026196594004990192,89170.11333333334,0.003744604446120289,Vendre
2026-01-28 07:00:00,89317.47,89358.51,89099.81,89134.35,370.1952,-0.002050214812398865,89167.36230769231,0.003674855315284497,Vendre
2026-01-28 08:00:00,89134.35,89258.02,88833.65,88925.47,515.45435,-0.002343428767921707,89150.08428571429,0.0036193167665708455,Vendre
2026-01-28 09:00:00,88925.47,89567.26,88849.99,89567.25,490.95043,0.007217054911264453,89177.89533333333,0.0039040511412905383,Vendre
2026-01-28 10:00:00,89567.25,89703.87,89330.22,89403.77,688.45427,-0.001825220714044451,89192.0125,0.0038316222903341246,Vendre
2026-01-28 11:00:00,89403.76,90156.72,89313.13,90080.0,1092.21486,0.007563774995170691,89244.24705882353,0.004065673147116993,Vendre
2026-01-28 12:00:00,90079.99,90176.88,89790.0,89998.69,946.78783,-0.0009026420959147297,89286.16055555556,0.003972705637947033,Vendre
2026-01-28 13:00:00,89998.69,90488.0,89969.42,90257.91,1485.47795,0.002880264146067013,89337.30526315789,0.0038848467422334444,Vendre
2026-01-28 14:00:00,90257.91,90276.78,89460.01,89617.27,997.73721,-0.0070978820582040525,89351.30350000001,0.004201865881227255,Vendre
2026-01-28 15:00:00,89617.27,89849.75,88904.61,89479.66,998.88376,-0.0015355299263188904,89357.41571428571,0.004124100669107373,Vendre
2026-01-28 16:00:00,89479.66,89830.0,89248.61,89629.66,744.86311,0.0016763586272008357,89369.79045454547,0.004031472530310926,Vendre
2026-01-28 17:00:00,89629.66,90600.0,89277.21,90169.88,923.32635,0.006027245891594424,89404.57695652173,0.004096328991259019,Vendre
2026-01-28 18:00:00,90169.89,90178.91,89312.88,89546.24,748.51147,-0.006916278473476978,89410.47958333335,0.004309734348128273,Vendre
2026-01-28 19:00:00,89544.0,89719.58,89006.36,89402.58,893.3832,-0.0016043108007661733,89451.88833333332,0.004330891452187668,Vendre
2026-01-28 20:00:00,89402.57,89896.0,89010.0,89130.63,590.94624,-0.0030418585235458817,89440.82458333333,0.00373585488746049,Vendre
2026-01-28 21:00:00,89130.63,89490.24,88878.01,89412.17,381.49994,0.0031587345450154736,89454.60416666667,0.003720067985024417,Vendre
2026-01-28 22:00:00,89412.18,89479.04,89138.0,89396.15,156.23518,-0.0001791702404717599,89460.95916666667,0.0037036425016063954,Vendre
2026-01-28 23:00:00,89396.15,89471.41,89209.48,89299.99,233.14943,-0.0010756615357595534,89463.04208333335,0.003711121277908947,Vendre
2026-01-29 00:00:00,89300.0,89348.0,88900.0,89143.91,431.21285,-0.0017478165451082495,89449.55,0.00369129266283414,Vendre
2026-01-29 01:00:00,89143.92,89159.99,88548.87,88603.56,624.81108,-0.0060615469974337755,89416.17458333333,0.0038835802089008634,Vendre
2026-01-29 02:00:00,88603.56,88754.64,87704.0,87907.06,1097.35161,-0.007860857961011991,89358.72833333333,0.004172041625362814,Vendre
2026-01-29 03:00:00,87907.05,88265.39,87771.3,88053.71,769.73434,0.0016682391607683034,89314.02166666667,0.0041903797969929995,Vendre
2026-01-29 04:00:00,88053.71,88345.66,87901.23,88315.2,311.3438,0.002969664764834956,89286.52833333334,0.004240147527453692,Vendre
2026-01-29 05:00:00,88315.2,88408.08,88142.66,88186.54,354.31355,-0.0014568273638060347,89249.13,0.004233490353656649,Vendre
2026-01-29 06:00:00,88186.53,88338.67,88168.9,88319.35,284.51762,0.0015060121419891992,89207.54166666667,0.0042048081292640335,Vendre
2026-01-29 07:00:00,88319.35,88430.05,88250.0,88352.97,526.73614,0.00038066403341963095,89174.98416666668,0.0041940928352006196,Vendre
2026-01-29 08:00:00,88352.96,88500.0,87907.8,88064.16,823.67262,-0.003268820504845449,89139.09625,0.004217325085769606,Vendre
2026-01-29 09:00:00,88064.16,88160.0,87892.0,87892.01,372.84765,-0.0019548247550423836,89069.29458333335,0.0039010766082326243,Vendre
2026-01-29 10:00:00,87892.0,88046.59,87832.18,87946.46,575.41561,0.0006195102376200801,89008.57333333335,0.0039044893909531485,Vendre
2026-01-29 11:00:00,87946.47,88066.94,87750.01,87846.5,527.10516,-0.0011366006090524072,88915.51083333335,0.0034877342062658435,Vendre
2026-01-29 12:00:00,87846.5,88121.29,87817.97,88121.21,516.69113,0.0031271593062900394,88837.28249999999,0.0035901213664096434,Vendre
2026-01-29 13:00:00,88121.21,88182.29,87951.67,88052.88,283.13252,-0.0007754092346212715,88745.40625,0.0035004380662957777,Vendre
2026-01-29 14:00:00,88052.87,88075.23,87008.0,87014.4,1065.77381,-0.01179382207600721,88636.95333333332,0.003956267677169908,Vendre
2026-01-29 15:00:00,87014.4,87039.51,84366.56,84934.02,8241.9564,-0.023908456531332667,88447.55166666668,0.006092816549177675,Vendre
2026-01-29 16:00:00,84934.02,85392.2,84268.17,85270.0,4076.75879,0.003955776495684571,88265.89916666667,0.0061723357322242215,Vendre
2026-01-29 17:00:00,85270.01,85638.3,84012.78,84261.66,2652.67947,-0.01182526093585079,88019.72333333333,0.006231163295945398,Vendre
2026-01-29 18:00:00,84261.66,84630.55,83415.0,83477.02,2305.76692,-0.00931194567018978,87766.83916666667,0.006318531466604613,Vendre
2026-01-29 19:00:00,83477.02,84334.97,83383.33,84012.11,1752.68525,0.006410027574055732,87542.23625,0.006595721692756735,Vendre
2026-01-29 20:00:00,84012.11,84398.36,83824.9,84216.91,1089.07114,0.002437743796697811,87337.49791666667,0.006672950492021993,Vendre
2026-01-29 21:00:00,84216.91,84706.32,84200.0,84526.57,780.67473,0.0036769337654398715,87133.93125000001,0.006692321411403398,Vendre
2026-01-29 22:00:00,84526.57,84615.74,84306.24,84570.05,335.13893,0.000514394467916901,86932.84375,0.006703441990613195,Vendre
2026-01-29 23:00:00,84570.04,84737.69,84445.7,84650.16,631.99089,0.0009472620626331807,86739.10083333334,0.006732005627023065,Vendre
2026-01-30 00:00:00,84650.16,84735.75,84100.0,84192.0,730.18491,-0.005412393786379144,86532.77125,0.006762704736981035,Vendre
2026-01-30 01:00:00,84192.0,84192.01,81118.0,82468.02,6080.28823,-0.020476767388825534,86277.12375000001,0.007683544316662364,Vendre
2026-01-30 02:00:00,82468.01,82535.89,81154.0,82164.88,3963.98084,-0.003675849135216236,86037.86625,0.007614594090498046,Vendre
2026-01-30 03:00:00,82164.88,82738.89,82036.35,82676.43,1470.66915,0.006225896027597155,85813.81291666666,0.007785340087496671,Vendre
2026-01-30 04:00:00,82676.42,83332.2,82676.42,82938.92,1147.37787,0.0031749072861515515,85589.80125,0.007791825768687334,Vendre
2026-01-30 05:00:00,82938.92,83329.36,82903.23,82914.19,818.20759,-0.0002981712325166308,85370.12000000001,0.007802696394882727,Vendre
2026-01-30 06:00:00,82914.2,82919.21,82056.08,82602.81,1199.37024,-0.003755448856221144,85131.93083333333,0.007757981112363066,Vendre
2026-01-30 07:00:00,82602.81,83100.0,82483.27,82816.98,1624.46252,0.002592768938490142,84901.26458333334,0.007809824436308348,Vendre
2026-01-30 08:00:00,82816.98,82995.41,82438.8,82671.7,959.74241,-0.001754229627788928,84676.57875,0.007810835320179272,Vendre
2026-01-30 09:00:00,82671.7,82834.19,82160.0,82363.72,1026.26025,-0.00372533769113248,84446.23333333334,0.007812838948428416,Vendre
2026-01-30 10:00:00,82363.71,82897.41,82172.02,82833.92,661.3904,0.005708824225034936,84233.21083333333,0.007973521508764368,Vendre
2026-01-30 11:00:00,82833.92,83314.85,82682.15,83151.36,607.68303,0.003832246499984482,84037.58,0.008073305525000287,Vendre
2026-01-30 12:00:00,83151.36,83329.35,82650.0,82800.5,693.0162,-0.004219534112250289,83815.88375,0.007999319298996105,Vendre
2026-01-30 13:00:00,82800.49,83087.34,82421.64,82740.92,760.57185,-0.0007195608722170288,83594.55208333333,0.00799986931538552,Vendre
2026-01-30 14:00:00,82740.93,83797.99,82738.68,83098.0,1785.40114,0.004315639710073427,83431.36875,0.007865986331509778,Vendre
