date,open,high,low,close,volume,future_return,label
2026-01-28 00:00:00,89249.99,89468.01,89154.8,89467.72,258.84583,-0.1318364880651927,Vendre
2026-01-28 01:00:00,89467.73,89497.96,89196.87,89404.57,267.52883,-0.13294286858043175,Vendre
2026-01-28 02:00:00,89404.57,89453.89,89100.01,89285.77,214.15071,-0.14329943058115538,Vendre
2026-01-28 03:00:00,89285.78,89311.87,88985.0,89126.67,353.861,-0.1439938236220427,Vendre
2026-01-28 04:00:00,89126.68,89160.0,88840.0,88975.04,312.10964,-0.1470175231165954,Vendre
2026-01-28 05:00:00,88975.03,89105.56,88849.0,89084.1,326.80822,-0.15246267291245014,Vendre
2026-01-28 06:00:00,89084.1,89400.0,89084.1,89317.47,340.81001,-0.14295243696445942,Vendre
2026-01-28 07:00:00,89317.47,89358.51,89099.81,89134.35,370.1952,-0.13994111136727885,Vendre
2026-01-28 08:00:00,89134.35,89258.02,88833.65,88925.47,515.45435,-0.13544139828555307,Vendre
2026-01-28 09:00:00,88925.47,89567.26,88849.99,89567.25,490.95043,-0.13221261119438185,Vendre
2026-01-28 10:00:00,89567.25,89703.87,89330.22,89403.77,688.45427,-0.13309539407566381,Vendre
2026-01-28 11:00:00,89403.76,90156.72,89313.13,90080.0,1092.21486,-0.13676742895204258,Vendre
2026-01-28 12:00:00,90079.99,90176.88,89790.0,89998.69,946.78783,-0.13344838685985327,Vendre
2026-01-28 13:00:00,89998.69,90488.0,89969.42,90257.91,1485.47795,-0.1333192847031358,Vendre
2026-01-28 14:00:00,90257.91,90276.78,89460.01,89617.27,997.73721,-0.13136396589630558,Vendre
2026-01-28 15:00:00,89617.27,89849.75,88904.61,89479.66,998.88376,-0.11879347775796203,Vendre
2026-01-28 16:00:00,89479.66,89830.0,89248.61,89629.66,744.86311,-0.12267033033484684,Vendre
2026-01-28 17:00:00,89629.66,90600.0,89277.21,90169.88,923.32635,-0.12400193945029099,Vendre
2026-01-28 18:00:00,90169.89,90178.91,89312.88,89546.24,748.51147,-0.12257801109236979,Vendre
2026-01-28 19:00:00,89544.0,89719.58,89006.36,89402.58,893.3832,-0.12372215656416181,Vendre
